Rank,Word,Part of Speech,English Translation,Phrase,English Phrase
625,plan,nm,plan,nos explicó que tenía preparado un plan infalible,he explained to us that he had an infallible plan
626,entregar,v,to deliver,entregó el paquete a las criaturas,he delivered the package to the children
627,carta,nf,"letter, (playing) card",comienza a leer la carta,she starts to read the letter
628,colegio,nm,"(high) school, college",Asistía un colegio en el Perú.,I attended high school in Peru.
629,policía,nc,"police, police force, police officer",el policía dirigió el tráfico después del partido,the police officer directed traffic after the game
630,llorar,v,to cry,"lloraba, y se limpió los ojos con la servilleta",she cried and wiped her eyes with a napkin
631,enorme,adj,"enormous, vast",hay una enorme cantidad de cuadros muy significativos,there is an enormous number of significant paintings
632,figura,nf,figure,patina en figura ocho,she skated in a figure of eight
633,capacidad,nf,capacity,tenía una gran capacidad para entender los tiempos nuevos,he had a great ability to understand the new times
634,comentar,v,to comment on,buscamos el manuscrito para comentar algunos pasajes,we looked for the manuscript so that we could comment on some of the passages
635,orientar,v,"to guide, show the way",tuve que orientar a un joven al parque,I had to show a young man the way to the park
636,afirmar,v,"to assert, affirm",afirmó que pertenecía a una buena clase de hombre,he declared that he belonged to a good class of man
637,calidad,nf,quality,para mejorar la calidad de vida de los mexicanos,in order to better the Mexican quality of life
638,compañía,nf,company,la compañía de teléfonos fue un monopolio de Estado,the telephone company was a government monopoly
639,jamás,adv,never,¡Jamás he visto cosa más grandiosa y sensacional!,I have never seen something so grand or sensational!
640,fuente,nf,"source, fountain",Encontró la fuente de su inspiración en españa.,He found the source of his inspiration in Spain.
641,ocho,num,eight,"entre las siete y media, ocho de la mañana",between seven thirty and eight in the morning
642,tamaño,nm,"size, dimension",volvió con un paquetón de papas fritas de tamaño gigante,she returned with a huge box of French fries
643,materia,nf,"matter, subject","en materia musical, la tecnología ha sufrido un receso","in matters of music, technology has suffered a downturn"
644,doctor,nm/f,doctor,su salud decayó y el doctor le recomendó una vida más tranquila,his health declined and his doctor recommended a more tranquil life
645,capaz,adj,"capable, able",¿Es usted capaz de describir su propia carrera?,Can you describe your own career?
646,dirección,nf,"direction, address",luego desearíamos navegar en dirección a otras estrellas,in the future we would like to fly in the direction of other stars
647,aumentar,v,to increase,el primer objetivo es aumentar el número de visitantes,the first objective is to increase the number of visitors
648,superior,adj,"superior, upper",una cantidad de dinero superior a su sueldo anual,a greater amount of money than his annual salary
649,responsable,adj,responsible,siempre me sentí responsable de nuestra separación,I always felt responsible for our separation
650,casar,v,to marry,se casó a los quince años con el dueño de una peluquería,she got married when she was fifteen to the owner of a hair salon
651,prueba,nf,"proof, trial, test",fue prueba de fidelidad y confianza conyugal,it was proof of the loyalty and trust in their marriage
652,mediante,prep,by means of,se salvó mediante el remedio ése,he saved himself by means of that remedy
653,cuarto,nm,"room, chamber",fue descubierto en un cuarto del Hotel Palacio,he was discovered in a room at the Palace Hotel
654,abierto,adj,"open, unlocked",dormía con un ojo abierto,he slept with one eye open
655,desaparecer,v,"to disappear, vanish",se hizo desaparecer en la oscuridad,he made himself disappear in the darkness
656,contrario,adj,"contrary, opposite","no nos oprime, es justo lo contrario, nos da la libertad","it doesn’t oppress us, it’s just the opposite, it gives us freedom"
657,objetivo,nm,objective,su objetivo es promover las ventas,his objective is to promote sales
658,obligar,v,"to obligate, force",me obligó a terminar la novela,he forced me to finish the story
659,julio,nm,July,"¿Que vamos a tener el cuatro de julio, el día de la independencia?","What are we going to have on the fourth of July, Independence Day?"
660,importancia,nf,importance,¿Qué proyectos de importancia tiene en su agenda?,What important projects are on your agenda?
661,sur,nm,south,es una isla que queda al sur del continente,it is an island that is located to the south of the continent
662,asunto,nm,"matter, issue, affair",se ha creado una gran polémica sobre el asunto,the matter has caused great controversy
663,medida,nf,measure; a m. que: to the extent,no sé en qué medida nos afectará,I don’t know to what extent it will affect us
664,energía,nf,"energy, power",no encontró ni las palabras ni la energía para hacerlo,he couldn’t find the words or the energy to do the task
665,impuestos,nm,taxes,uno no pagaimpuestos por creer en la necesidad de hacerlo,one doesn’t pay taxes because of belief in the necessity of doing so
666,apoyar,v,"to support, lean on",los municipios deben apoyar la educación,the local governments should support education
667,posición,nf,position,Vi que mi posición en aquel momento era inútil.,I saw that in that moment my position was not helpful.
668,quitar,v,"to remove, take away",el papel decorativo es muy dificil de quitar de la pared,wallpaper is very difficult to remove from the wall
669,contestar,v,"to answer, reply",no puede contestar esta pregunta,he cannot answer the question
670,piel,nf,"skin, hide, fur","tenía la piel muy sucia, por eso me duché","my skin was very dirty, so I took a shower"
671,provocar,v,"to cause, provoke",la brisa provoca una blanca lluvia de flores,the breeze causes a white rain of flowers
672,alma,nf (el),soul,En el fondo de su alma se encendió un deseo en ayudar a los pobres.,She had a burning desire in her soul to help the needy.
673,acto,nm,"act, action","ser culto es, para mí, un acto voluntario","being cultured is, for me, a voluntary act"
674,década,nf,decade,el láser fue desarrollado en las décadas de 1950 y 1960,the laser was developed during the 1950s and 1960s
675,mamá,nf,mom,su madre también es una profesora preescolar,her mother is also a preschool teacher
676,mío,pron,mine,quiere otro café igual al mío,he wants another coffee the same as mine
677,dólar,nm,dollar,156 pesetas equivalían a un dólar estadounidense en 1999,156 pesetas was equal to one US dollar in 1999
678,origen,nm,"origin, cause",las mesas redondas de origen griego surgieron en el período helenístico,the round tables of Greek origin began during the Hellenistic period
679,depender,v,to depend on,no me gusta depender de otra gente,I do not like to depend on other people
680,abandonar,v,"to abandon, leave (a place)",cuánto nos dolerá abandonar este lugar que tanto amamos,it will hurt a lot to leave the place we love so much
681,fijar,v,"to set, fix, [se] notice",lo primero que hizo fue fijar fecha definitiva,the first thing he did was set the definite date
682,profesional,adj,professional,como entrar en alguna carrera y tener éxito profesional,like starting into a career and having professional success
683,reír,v,to laugh (at),"se rió, como si hubiera dicho algo muy chistoso","he laughed, as if something very funny had been said"
684,lleno,adj,"full, filled",joven y lleno de esperanzas por una vida mejor,young and full of hope for a better life
685,tirar,v,"to throw, pull",el público se puso furioso y nos tiró tomates,the public was furious and threw tomatoes at us
686,período,nm,"period, time",estamos en un período histórico especial,we are in a special historical time
687,guardar,v,"to keep, save",lo voy a guardar debajo de mi colchón,I am going to keep it under my mattress
688,negocio,nm,"business, transaction",a base de negocios ilícitos acumuló una fortuna grande,based on illicit business transactions he accumulated a huge fortune
689,material,nm,"material, element",lo invisible está más allá de lo material,the invisible is beyond the material
690,arriba,adv,"up, above",desde arriba yo veía a mis dos hijas,from above I could see my two daughters
691,gritar,v,to shout,¡Tápate la cabeza! gritó una voz a mi lado,Cover your head! shouted a voice next to me
692,médico,nm/f,doctor,"con los problemas de salud, hable con su médico de familia","for health problems, speak with your family doctor"
693,domingo,nm,Sunday,asistía a la iglesia los domingos,she went to church on Sundays
694,peor,adj,"worse, worst",fue el peor desastre del año,it was the worst disaster of the year
695,os,pron,you (obj-pl/+fam),os he visto a los dos en esa tienda,I have seen the two of you in that store
696,notar,v,to notice,volví a notar esos extraños ruidos en el callejón,I noticed the strange sounds coming from the alley again
697,institución,nf,institution,esta universidad es la mejor institución en este estado,this university is the best institution in this state
698,surgir,v,"to appear, spring (forth)",veía las nubes surgir sobre las montañas,he watched the clouds appear over the mountains
699,expresar,v,to express,ya expresó su opinión contraria,he already expressed his contrary opinion
700,amar,v,to love,cuánto amaba a ese muchachito hermoso,she loved that beautiful boy so much
701,vestir,v,"to wear, dress","vistió el abrigo, y se enrolló la bufanda","he wore his jacket, and wrapped a scarf around his neck"
702,físico,adj,physical,recuperaron la salud mediante ejercicio físico,they recovered their health through physical exercise
703,cubano,adj,Cuban,yo aproveché para encender un buen tabaco cubano,I took the opportunity to light a good Cuban cigar
704,enviar,v,to send,para enviarle dinero a Pancho,to send money to Pancho
705,modelo,nc,"model, pattern",¿Alguna vez has sido modelo de un pintor?,Have you ever been a model for a painter?
706,parar,v,to stop (moving),me parece que se le paró el reloj,it seems to me that your watch has stopped
707,rey,nm,king,El Rey Juan Carlos y la Reina Sofía son populares por todo el mundo,King Juan Carlos and Queen Sofia are popular throughout the world
708,éxito,nm,success,tiene mucho éxito con sus piezas teatrales,she has much success with her theatrical pieces
709,constituir,v,"to constitute, consist of",los miembros que pueden constituir un sector competitivo,the members that make up the competitive sector
710,cuanto,adj,"en c. a: in terms of, regarding",hoy hay más apatía en cuanto a estas cuestiones,today there is more apathy regarding these questions
711,generar,v,to generate,Espero poder generar nuevos modos de pensamiento.,I hope to be able to generate new ways of thinking.
712,naturaleza,nf,"nature, character",tiene una naturaleza racional,she has a rational nature
713,preferir,v,to prefer,en realidad prefiero una buena hamburguesa con una Coca-Cola,in reality I prefer a good hamburger with a Coke
714,cultural,adj,cultural,"por la supremacía económica, cultural, lingüística sobre los otros","for their economic, cultural, and linguistic supremacy over others"
715,conjunto,nm,"group, set","para mí, fue el conjunto de cosas el que no me gustó","for me, it was the combination of things that I didn’t like"
716,dedo,nm,"finger, toe, digit",el juez tocó los papeles con la yema del dedo,the judge touched the papers with the tip of his finger
717,cantar,v,to sing,comenzó a cantar con una voz muy dulce,he began to sing in a very sweet voice
718,futuro,nm,future,un futuro que deseamos construir entre todos,a future that we all want to build
719,proponer,v,to propose,le voy a proponer que nos casemos,I am going to propose to her
720,título,nm,"title, heading",esa novela tiene también otro título,that story also has another title
721,europeo,adj,European,hay una gran influencia eurpea en sudamerica,there is a large european influence in South America
722,adelante,adv,"forward, further",el gobierno sigue adelante con el proyecto,the government is moving forward with the project
723,suerte,nf,"luck, fortune",tengo mucha suerte en mi vida,I have a lot of luck in my life
724,pensamiento,nm,"thought, thinking",un pensamiento extraño nació en mi mente,a strange thought occurred to me
725,ventana,nf,window,cubre la ventana con la cortina,cover the window with the curtain
726,jefe,nm/f,"leader, boss, manager",es el jefe de una nueva tribu,he is the leader of a new tribe
727,chico,nm,boy,mostró la estatura de un chico de seis a siete años,he had the height of a six- or seven-year-old boy
728,banco,nm,"(financial) bank, bench",el Banco de México garantiza una parte del crédito,the Bank of Mexico guarantees part of the loan
729,ambiente,nm,"environment, atmosphere",un ambiente silencioso le ayudó para concentrarse,a silent environment helps her concentrate
730,lanzar,v,"to throw, launch",lanzaba la pelota de futbol americano para practicar antes del juego,he used to throw the football as practice before games
731,simplemente,adv,"simply, just",me visitan simplemente por ser familia,they visit me just because they are family
732,permanecer,v,"to stay, remain",me gustaría permanecer aquí,I would like to remain here
733,romper,v,to break,no quería romper la unidad de la familia,he did not want to break up the unity of the family
734,local,adj,local,el nuevo parque está abierto a todos los turistas y residentes locales,the new park is open for all the tourists and local residents
735,novela,nf,novel,estaba leyendo una novela de terror,he was reading a horror novel
736,extraño,adj,"strange, foreign",había un extraño olor de azúcar quemada,there was a strange smell of burnt sugar
737,privado,adj,private,los sectores públicos y privados han reducido sus obligaciones,the public and private sectors have reduced their obligations
738,ciencia,nf,"science, knowledge",han sostenido que incluso la ciencia no es tan racional como se supone,he has discovered that in fact science is not as rational as one thinks
739,flor,nf,flower,Mi flor favorita es la rosa. ¿Cual es la tuya?,My favorite flower is the rose. What is yours?
740,estructura,nf,structure,está sustentada por una estructura reticular de tubos de acero,it is supported by a lattice structure of steel tubes
741,duro,adj,hard,respecto a la transferencia de archivos desde disco duro a tablet,concerning the transfer of files from hard disk to a tablet
742,común,adj,common,el talento no es una cosa muy común,talent is not a very common thing
743,pena,nf,trouble; valer la p.: be of worth,esa es una cosa que sí vale la pena recordarla,that is something that is worth remembering
744,red,nf,"network, net, system",se hace pública y pasa a ser difundida por toda la red,it becomes public and is spread throughout the whole network
745,pieza,nf,"piece, part",el huarache es una pieza de pan mexicano cortado por la mitad,the huarache is a piece of Mexican bread cut in half
746,golpe,nm,"hit, strike, punch",me dio un golpe en el brazo,he gave me a punch on the arm
747,economía,nf,"economy, economics, thriftiness",para gastar en obras públicas y reactivar la economía,to spend money in public works and stimulate the economy
748,árbol,nm,tree,"las ramas del árbol, que dan sombra",the tree branches that give shade
749,literatura,nf,literature,es un libro de la literatura sudamericana,It is a book of South American literature
750,defender,v,"to defend, protect",debemos defender nuestros derechos,we should defend our rights
751,cuidar,v,to take care of,debería cuidar más las flores,he should take better care of the flowers
752,informar,v,to inform,pero alguien le informó que ya se había ido,but someone informed her that he had already left
753,texto,nm,text,¿Has leído el texto para mañana?,Have you read the text for tomorrow?
754,elección,nf,"election, choice",este año tendremos elección de 10 gobernadores,this year we will have the election of 10 governors
755,cortar,v,to cut,salió al jardín y cortó el tallo más largo de su rosal,she went to her garden and cut the longest stemmed rose from her rose bush
756,fecha,nf,"date, day",Nunca se te olvida la fecha de tu naciemento.,You never forget the date of your own birthday.
757,especialmente,adv,especially,no era especialmente devota del amor entre compañeros de trabajo,he was not especially a fan of love between co-workers
758,profundo,adj,"deep, profound",el mejor y más profundo conocimiento del poeta,the best and most profound understanding of the poet
759,conocido,adj,"known, well known",Velázquez fue también un pintor muy conocido en Sevilla,Velazquez was also a well-known painter in Seville
760,unir,v,"to unite, join (together)","lo que está unido aquí, no lo separe el hombre","what is joined here, let no man separate"
761,alemán,adj,German,Los alemanes ganaron contra Argentina en el ultimo juego.,The Germans beat Argentina in the last game.
762,actuar,v,to act,esa manera de actuar no es aceptable,that way of acting is inappropriate
763,salvar,v,"to save, rescue",la amaba porque le había salvado la vida,she loved him because he had saved her life
764,aplicar,v,to apply,se aplicó mucho en los estudios,she really applied herself to her studies
765,extranjero,nm/f,foreigner,conoce a los extranjeros de distintos países,he knows foreigners from different countries
766,respecto,prep,con r. a: regarding,los grupos varían con respecto al número que lo componen,the groups vary with respect to their numbers
767,entrada,nf,"entrance, admission ticket",llegamos nada más hasta la entrada de la casa,we only made it to the entrance of the house
768,planta,nf,"plant, floor",ninguna planta capaz de dar frutos puede crecer sobre esta tierra,no plant capable of giving fruit will be able to grow on that land
769,hija,nf,daughter,es hija de padres divorciados,she is the daughter of divorced parents
770,negar,v,"to deny, refuse",no puedo negar esta evidencia,I cannot deny this evidence
771,recuerdo,nm,"memory, keepsake","es la memoria, el recuerdo de la experiencia vivida","it is a keepsake, a memory of a life experience"
772,avanzar,v,"to advance, progress",una procesión que avanza por la avenida,a procession that moves forward down the avenue
773,consecuencia,nf,consequence,la obstrucción se produce como consecuencia de grasas,the obstruction was produced as a consequence of fats
774,piedra,nf,"stone, rock",ella tiene una coleccion de piedras de todos los lugares que ha visitado,she has a collection of rocks from all the places she has been
775,costar,v,"to cost, be hard",la pensión les costaba más o menos seis mil pesos,the pension cost them more or less six thousand dollars
776,pierna,nf,leg,tenían las piernas y el cuerpo adaptados para caminar erguidos,they had the legs and body adapted to walk upright
777,funcionar,v,"to work, function",un sistema hidráulico que funcionaba a través de estanques de agua,a hydraulic system that functioned with stagnant water
778,pared,nf,(interior) wall,en la pared se ve colgada una pintura,there is a painting hanging on the wall
779,motivo,nm,"motive, cause",revelan el motivo de la construcción de las pirámides,they revealed the motive behind the construction of the pyramids
780,deseo,nm,"desire, wish",tienen gran entusiasmo y deseo de participar activamente,he has great desire and enthusiasm to actively participate
781,suficiente,adj,"sufficient, enough",no tuvo el tiempo suficiente para ejecutar sus proyectos,he didn’t have enough time to carry out his plans
782,ropa,nf,"clothes, clothing",está vestida de ropa deportiva,he was dressed in sports clothes
783,abuela,nf,grandmother,"La madre de mi madre, mi abuela, es de España.","My mother’s mother, my grandmother, is from Spain."
784,ayuda,nf,"help, aid",para que las personas afectadas puedan recibir la ayuda que necesitan,so that affected people can receive the help they need
785,anunciar,v,"to announce, advertise",le oí anunciar la llegada de su invitado,I heard them announce the arrival of their guest
786,reunir,v,"to gather, meet, collect",le permitieron reunir una fortuna de proporciones grotescas,they allowed him to gather a wealth of grotesque proportions
787,disponer,v,"to have means, dispose",el enemigo dispone de tropas y armas,the enemy has troops and weapons at his disposal
788,abajo,adv,"down, below, downward",¿Se podría echar abajo la alianza opositora?,Can we bring down the opposing alliance?
789,sostener,v,"to support, hold up",subimos a la plataforma que sostenía la cama,we climbed on the platform that held the bed
790,popular,adj,popular,¿Se trata de música popular o culta?,Is it about popular or highbrow music?
791,precisamente,adv,precisely,este es precisamente el problema,this is precisely the problem
792,visitar,v,to visit,me gustaría visitar Los Ángeles,I would like to visit Los Angeles
793,construcción,nf,construction,suelen instalarse durante la construcción del edificio,they are usually installed during the construction of the building
794,contener,v,to contain,una dieta que no contenga las cosas que te llevan a ser gordo,a diet that does not include the things that make you fat
795,estudiante,nc,student,era suficiente para una estudiante de cuarto curso,it was sufficient for a fourth-year student
796,fiesta,nf,"party, feast",¿Le gustaría celebrar su fiesta de cumpleaños en mi casa?,Would you like to have your birthday party at my house?
797,lucha,nf,"fight, struggle, wrestle",la lucha contra el desempleo es la principal prioridad,the fight against unemployment is our main priority
798,metro,nm,"meter, subway",produce kilogramos de vegetales por metro cuadrado,he produces kilograms of vegetables per square meter
799,mañana,adv,tomorrow,¿Entonces mañana va a correr en el parque otra vez?,So tomorrow are you going to run in the park again?
800,rato,nm,"moment, while, time","cuando hacía buen tiempo, se paseaba un rato sola por el parque","when the weather was nice, she took a moment alone to walk in the park"
801,colocar,v,"to place, position",colocó las rosas dentro del jarrón,she placed the roses in the vase
802,oscuro,adj,"dark, obscure",estás en el punto más oscuro del bosque,you are in the darkest part of the forest
803,sombra,nf,"shade, shadow",tomó la siesta a la sombra de los árboles,he took a nap in the shade of the trees
804,expresión,nf,expression,Johnny cambió su sonrisa por una expresión concentrada,Johnny changed his smile to an expression of concentration
805,separar,v,to separate,sonrió sin separar los labios,she smiled without opening her lips
806,plaza,nf,"square, marketplace",hay una muchedumbre bailando en la plaza principal,there is a crowd dancing in the main plaza
807,vivo,adj,"alive, bright",el país está musicalmente vivo y palpitante,the country is alive and vibrating with music
808,vecino,nm/f,neighbor,permiten que los vecinos construyan sus viviendas en los barrios,they permit their neighbors to build their houses in the district
809,pretender,v,to attempt,no sale siempre lo que uno pretende,you do not always succeed in what you attempt
810,isla,nf,island,Es de las islas británicas.,She is from the British Isles.
811,azul,adj,blue,"los colores básicos son azul, amarillo, verde y rojo","the basic colors are blue, yellow, green and red"
812,verde,adj,green,"los vegetales de hoja verde, como las espinacas y la col son saludables",the green leaf vegetables like spinach and cabbage are very healthy
813,carácter,nm,"personality, nature","es un hombre de carácter apacible, reflexive, y afectuoso","he is a man with a gentle, thoughtful, and affectionate personality"
814,viento,nm,"wind, scent",un viento de huracán amenaza arrancar el techo,a hurricane wind threatens to rip off the roof
815,cruzar,v,to cross,¿Por qué el pollo cruzó la calle?,Why did the chicken cross the road?
816,completo,adj,complete,tienes mi apoyo completo,you have my complete support
817,artista,nc,"artist, performer",el artista pintó también retratos de familias famosas,the artist also painted portraits of famous families
818,contacto,nm,contact,nos mantendremos en contacto por vía telefónica,we will stay in contact by telephone
819,veinte,num,twenty,mide tres metros veinte centímetros,it measures three meters twenty centimeters
820,invitar,v,to invite,le voy a invitar a un café caliente,I am going to invite her for a cup of hot coffee
821,religioso,adj,religious,un sentimiento religioso que expresa admiración,a religious sentiment that expresses admiration
822,cargo,nm,"position, charge, fee",¿Desde cuando ocupa usted el cargo de director musical?,Since when did you occupy the position of musical director?
823,nación,nf,nation,celebramos la entrada del país en el grupo de naciones europeas,we celebrate the entrance of our country into the group of European nations
824,ministro,nm/f,"(government) secretary, minister",el Ministro de Hacienda dice que no hay mucho que negociar,the property minister says that there is not much to negotiate
825,televisión,nf,"TV, television",habrá transmisiones de televisión y radio,there will be television and radio transmissions
826,determinado,adj,"determined, fixed",se levantó con aire determinado para marcharse,he awoke determined to leave
827,memoria,nf,memory,"habla pausadamente, buscando en la memoria la palabra exacta","he speaks slowly, searching his memory for the exact word"
828,recoger,v,to pick up,se inclinó hacia la derecha para recoger una maleta,she leaned to the right to pick up the suitcase
829,treinta,num,thirty,van a venir unas treinta personas,there are about thirty people coming
830,histórico,adj,historical,el único manuscrito histórico con miniaturas del mundo bizantino,it is the only historical manuscript with miniatures from the Byzantine era
831,extender,v,"to extend, spread",ella extiende sobre la mesita un mapa,she spreads out a map on the table
832,espíritu,nm,"spirit, ghost","son, en cambio, una muestra del mismo espíritu de intolerancia","they are, on the other hand, an example of the same spirit of intolerance"
833,lejos,adv,"far (away, off)",ese sitio estaba lejos del pueblo,that site was far away from the village
834,mitad,nf,"half, middle",es un libro sobre la primera mitad del siglo,it is a book about the first half of the century
835,actitud,nf,attitude,hay que tener siempre una actitud de alegria,one should always have a positive attitude
836,solución,nf,"solution, answer",no encontraría la solución a mis problemas,I would not find the solution to my problems
837,público,nm,"public, audience",lo que me motiva es el contacto con el público,what motivates me is the interaction with the public
838,basar,v,"to base on, base upon",voy a basar el argumento en hechos concretos,I am going to base my argument on concrete facts
839,totalmente,adv,"totally, completely",el departamento estaba totalmente desnudo,the department was completely stripped
840,total,adj,"total, entire",el Estado tiene un total de 20 kilómetros de autopistas de peaje,the state has a total of 20 kilometers of toll roads
841,sala,nf,"room, hall",siempre vemos la tele en la sala,we always watch television in the living room
842,acerca,prep,"about, concerning",la importancia de educar a la poblaciónacercade la política,the importance of educating the public about politics
843,par,nmf,"pair, couple (m); a la p.: at same time",acaba de comprar un par de zapatos,he just bought a pair of shoes
844,apoyo,nm,"support, backing","cuando necesité ayuda, ella volvió para darme su apoyo","when I needed help, she returned to give me her support"
845,territorio,nm,territory,el Amazona ocupa un territorio de 6.000.000 kilómetros cuadrados,"the Amazon occupies a territory of 6,000,000 square kilometres"
846,loco,adj,"crazy, insane",estos hijos de diablo van a volverme loco,these devilish children are going to drive me crazy
847,mensaje,nm,message,cree que la visión del sueño fue un mensaje divino,he believes the vision from his dream was a divine message
848,unidad,nf,"unit, unity",las hermanas no quieren romper la unidad de la familia,the sisters did not want to break up the unity of the family
849,mexicano,adj,Mexican,recibe su nombre del actual estado mexicano de Veracruz,it gets its name from the current Mexican state of Veracruz
850,práctica,nf,"practice, skill",para practicar otros deportes de montaña y de aventura,to practice other mountain and adventure sports
851,teoría,nf,theory,¿Es un artículo acerca de la fusión nuclear o la Teoría de la Relatividad?,Is it an article based on nuclear fusion or the theory of relativity?
852,preocupar,v,to worry,cada día le preocupa más,she worries about it more each day
853,cuento,nm,"story, tale",le gustaría reproducirlo en cuentos y novelas,he would like to recreate them in stories and novels
854,exigir,v,to demand,exijo la perfección,I demand perfection
855,mejorar,v,"to improve, get better",tienes que mejorar tus notas,you need to improve your grades
856,serio,adj,serious,esa muchacha tiene un problema serio,that girl has a serious problem
857,edificio,nm,building,el colegio tenía edificios de estilo colonial,the college had colonial-style buildings
858,técnica,nf,"technique, skill",la técnica de microdiálisis utiliza sondas,the microdialysis technique requires a catheter
859,noticia,nf,news,¿Qué noticias tienen de la isla de Mallorca?,What news do you have from the island of Mallorca?
860,carne,nf,"meat, flesh",me gusta la carne más que las verduras,I like meat more than vegetables
861,moderno,adj,modern,he escrito sobre el arte moderno,I have written about modern art
862,alumno,nm,"student, pupil",yo fui muy buen alumno en la matemática,I was a very good math student
863,oro,nm,gold,a mí gustan los aretes de oro en vez de plata,I prefer gold earrings instead of silver ones
864,escritor,nm/f,writer,de la pluma del escritor nacen los libros,books are born from the pen of the writer
865,papá,nm,dad,en realidad su papá es trujillano y su madre de Lima,"actually, his father is from Trujillo and his mother is from Lima"
866,teléfono,nm,"phone, telephone",la llamé por teléfono y me dijo que recibió el mensaje,when I called her on the telephone she told me she received my message
867,resolver,v,"to resolve, settle, work out",tenemos que resolver el conflicto,we have to resolve the conflict
868,concepto,nm,concept,hoy tenemos un concepto muy museístico de la obra de arte,we now have a very museum-like concept of art
869,interior,nm,"interior, inside",el interior del edificio está vacío,the inside of the building is empty
870,rápido,adj,"quick, fast",vamos a buscar una solución lo más rápido posible,we will find a solution as quicky as possible
871,crisis,nf,crisis,"después tuvo un ataque de ansiedad, pero la crisis no fue tan severa","afterwards he had an anxiety attack, but the crisis wasn’t that severe"
872,civil,adj,civil,las preguntas efectuadas por miembros de una sociedad civil,the questions asked by members of a civil society
873,pelo,nm,hair,"era rubio y flaco, de pelo corto","he was blond and thin, with short hair"
874,formación,nf,"formation, education",¿Cuál ha sido su formación formal?,What is your formal training?
875,simple,adj,"simple, mere, simpleminded",al principio papá lo veía como un simple juego,in the beginning dad saw it as a mere game
876,comercial,adj,"commercial, shopping",está empleado en una firma comercial importante,he is employed in an important commercial firm
877,riesgo,nm,risk,lo preocupante para mí es el riesgo de que nos descubran,what worries me is the risk that they will find us
878,imponer,v,"to impose, enforce",a menudo trataba de imponer su voluntad,every once in a while he tried to impose his will
879,fundamental,adj,fundamental,es un paso fundamental en el proceso,It was a fundamental step in the process
880,amplio,adj,"wide, ample, broad",La fiesta fue en un amplio cuarto con suficiente lugar para bailar.,The party was held in a large room with sufficient space for dancing.
881,afectar,v,to affect,los déficits fiscales sí pueden afectar la economía,the fiscal deficits can definitely affect the economy
882,foto,nf,"photo, picture",las fotos mostraban un dormitorio pintado de azul,the pictures showed a bedroom that was painted blue
883,reducir,v,to reduce,la importación de maíz se reducía a cero,the importation of corn has reduced almost to zero
884,fuego,nm,"fire, gunfire",me quemó el fuego,the fire burnt me
885,aprovechar,v,to take advantage of,yo quiero aprovechar esta oportunidad,I want to take advantage of this opportunity
886,celebrar,v,to celebrate,fuimos a celebrar nuestra liberación,we went to celebrate our new freedom
887,error,nm,"error, mistake","en fin, hay la posibilidad de corregir el error","in the end, there is the possibility of correcting the error"
888,perro,nm,dog,"el gato, el perro, y los pollos fueron domesticados muy pronto","the cat, the dog, and the chickens were domesticated very quickly"
889,piso,nm,"floor, story",había una escalera hasta el tercer piso,there was a staircase to the third floor
890,gusto,nm,"pleasure, taste, preference",mi gusto personal en arte no es nada conservador,my personal taste in art is not conservative at all
891,bonito,adj,"pretty, nice",¡Qué vestido tan bonito!,What a beautiful dress!
892,medir,v,to measure,la Colonia Güell mide precisamente 44 metros de alto,the Colonia Guell church measures exactly 44 meters in height
893,pareja,nf,"couple, pair",una pareja de enamorados se besa,a couple of lovebirds kiss
894,despertar,v,"to wake (up), arouse",se volvió a dormir pero se despertó de nuevo en cinco minutos,he went back to sleep and then woke up again in five minutes
895,pesar,v,to weigh,el diamante pesaba sin cortar 60.25 quilates,the uncut diamond weighed 60.25 carots
896,costa,nf,coast,un parque nacional que hay en la costa del Pacífico hacia el sur,a national park that is in the south of the Pacific coast
897,enfrentar,v,"to confront, face",prefieren huir a enfrentarse con los soldados,they prefer to escape rather than confront the soldiers
898,corresponder,v,to correspond with,introduce un número que corresponde a su tarjeta,he presents a number that corresponds with his card
899,escapar,v,to escape,mi perro siempre se escapa de su caseta,my dog always escapes from his kennel
900,causar,v,"to cause, bring about",el fuego causó severos daños en el área,fire caused severe damage to the area
901,grave,adj,"serious, solemn",fue un accidente grave,it was a serious accident
902,viajar,v,to travel,le gustaba viajar en tren,he liked to travel by train
903,cámara,nf,"camera, chamber",la escena fue grabada por la cámara de seguridad del banco,the scene was filmed by a bank security camera
904,vía,nf,"road, way; por v.: by means",ellos viajan al norte en vía de tren,they are traveling north by way of train
905,ejército,nm,army,le impidió seguir la ofensiva contra el ejército iraquí hasta el final,it prevented him from continuing the offensive against the Iraqi army until the end
906,comida,nf,"food, meal",en los restaurantes no se servía comida antes de las ocho,the restaurants did not serve food prior to eight o’clock
907,caballo,nm,horse,montaban a caballo y jugaban polo,they rode horses and played polo
908,feliz,adj,"happy, fortunate","con un aplausito cortés, y una sonrisita feliz",with slight courteous applause and a happy little smile
909,mayo,nm,May,estoy hablando del mes de mayo de 1996,I am talking about the month of May in 1996
910,plata,nf,"silver, money",ornamentados con perlas e hilos de oro y plata,decorated with pearls and threads of gold and silver
911,visita,nf,"visit, visitor, guest",tras una visita a la ciudad de San Francisco,after a visit to the city of San Francisco
912,rodear,v,to surround,consiguieron rodear a las tropas británicas,they managed to surround the British troops
